name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york,2014-07-19,24.3,20.3,22.3,24.3,20.3,22.3,13,56.1,0,0,0,,,,,18.4,72.9,1023.1,80.1,16,147.4,12.8,5,,2014-07-19T05:40:57,2014-07-19T20:23:16,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-20,25.3,19,22,25.3,19,22,15,64.9,0,0,0,,,,29.5,25.9,51.4,1020.5,55.7,16,100,8.4,3,,2014-07-20T05:41:47,2014-07-20T20:22:32,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-21,28.8,19.3,23.5,28.5,19.3,23.5,16.1,64.7,0,0,0,,,,,20.5,34.1,1021.4,22.9,15.8,313.3,27.1,9,,2014-07-21T05:42:38,2014-07-21T20:21:46,0.88,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-22,29.1,22.1,25.5,30.4,22.1,26,17.6,62.1,0,0,0,,,,37.1,29.5,203.3,1020,18.4,15.8,317.7,27.5,9,,2014-07-22T05:43:30,2014-07-22T20:20:58,0.92,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-23,30.2,23,26.4,33.6,23,27.6,19.7,67.3,4.349,100,12.5,rain,,,48.2,22.3,203.9,1012.7,44,14.9,316.7,27.3,9,,2014-07-23T05:44:23,2014-07-23T20:20:09,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-24,26.2,22.3,24,26.2,22.3,24,16.4,64,0,0,0,,,,,16.6,2.7,1010.5,73.9,15.7,250.6,21.5,7,,2014-07-24T05:45:16,2014-07-24T20:19:17,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-25,27.2,19.1,23.3,26.9,19.1,23.2,12.2,50.8,0,0,0,,,,27.7,16.6,18.2,1015.1,28.7,16,336.5,28.9,10,,2014-07-25T05:46:10,2014-07-25T20:18:24,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-26,26.8,21.2,23.5,27.3,21.2,23.6,15.9,62.6,0,0,0,,,,31.3,12.8,222,1014.5,47.1,16,258.1,22.2,8,,2014-07-26T05:47:04,2014-07-26T20:17:30,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-27,29.6,22,25.5,30.8,22,26,19.5,70.7,0.22,100,4.17,rain,,,,18.4,208.3,1007.8,54.8,14.9,205.9,17.9,8,,2014-07-27T05:47:59,2014-07-27T20:16:33,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-28,27.2,21.1,23.9,27.4,21.1,24,17.6,69.7,5.545,100,25,rain,,,48.2,24.2,245.5,1001.4,71.1,14.8,312.3,27,9,,2014-07-28T05:48:54,2014-07-28T20:15:35,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-29,24.1,18,20.9,24.1,18,20.9,11,54.1,0,0,0,,,,51.8,17.4,310.9,1010.7,38.2,16,316.2,27.2,9,,2014-07-29T05:49:50,2014-07-29T20:14:35,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-30,26.2,17.3,22,26.2,17.3,22,11,51.6,0,0,0,,,,31.3,12.1,284.3,1016,38.9,16,315.1,27.3,9,,2014-07-30T05:50:46,2014-07-30T20:13:34,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-31,27.3,20.3,23.5,27.4,20.3,23.5,14.7,58,0,0,0,,,,38.9,27.7,198.9,1018.7,49.8,15.4,314.4,27,9,,2014-07-31T05:51:42,2014-07-31T20:12:31,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
