name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york,2014-06-19,26.1,20.8,23.1,26.1,20.8,23.1,17,69.2,2.827,100,12.5,rain,,,,15.2,9.8,1015,57.2,15.4,201.9,17.6,7,,2014-06-19T05:24:41,2014-06-19T20:30:11,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-20,26,18.2,22.5,26,18.2,22.5,8.4,43,0,0,0,,,,29.5,14.8,342.3,1014.6,23.6,15.8,341.1,29.4,10,,2014-06-20T05:24:51,2014-06-20T20:30:26,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-21,25,17,20.8,25,17,20.8,8.7,46.5,0,0,0,,,,29.5,19.1,74.5,1013.7,18,16,337.1,28.9,10,,2014-06-21T05:25:03,2014-06-21T20:30:38,0.85,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-22,25.4,17.9,21.1,25.4,17.9,21.1,12,57.5,0,0,0,,,,29.5,12.3,77.6,1014.6,48,16,292.3,25.2,9,,2014-06-22T05:25:17,2014-06-22T20:30:50,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-23,26.1,18.4,22.5,26.1,18.4,22.5,13.1,56,0,0,0,,,,35.3,25.9,189.8,1019.2,21.6,16,354,30.5,10,,2014-06-23T05:25:32,2014-06-23T20:30:59,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-24,26.5,20.8,23,26.5,20.8,23,14.6,59.8,0,0,0,,,,47.2,29.5,184.4,1019.5,31,16,353.4,30.5,10,,2014-06-24T05:25:50,2014-06-24T20:31:06,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-25,28.9,21.8,24.3,31.3,21.8,24.8,19.6,75.4,0,0,0,,,,46.7,22.3,193.3,1013.8,63.5,14.6,227.3,19.6,7,,2014-06-25T05:26:09,2014-06-25T20:31:11,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-26,28.4,21.9,25.3,29.5,21.9,25.7,19.2,70.8,3.335,100,16.67,rain,,,,13.3,337.9,1010.8,68.5,14.9,330.7,28.4,9,,2014-06-26T05:26:30,2014-06-26T20:31:14,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-27,27.8,20.8,23.2,27.7,20.8,23.2,15.4,62.9,0,0,0,,,,31.3,22.3,96.8,1019.1,58.4,16,334.8,28.8,10,,2014-06-27T05:26:52,2014-06-27T20:31:16,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-28,30.2,19.6,23.8,28.8,19.6,23.6,12.5,51.1,0,0,0,,,,33.5,15,169.5,1024.1,17.2,16,356.4,30.9,10,,2014-06-28T05:27:16,2014-06-28T20:31:15,0.01,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-29,27.4,20.3,23.8,28,20.3,23.9,13.1,51.5,0,0,0,,,,37.1,20.5,186.4,1022.8,21.7,16,355.2,30.7,10,,2014-06-29T05:27:42,2014-06-29T20:31:12,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-30,28.7,20.8,24.4,29.3,20.8,24.6,16.3,61.5,0,0,0,,,,38.9,24.1,188.1,1017.3,30.3,16,305.6,26.3,8,,2014-06-30T05:28:09,2014-06-30T20:31:07,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
